stock_code,trigger_date,trigger_rsi,foreign_net_buy,vol_ma20,has_golden_cross,gc_date,max_return_20d
012750,2025-10-29,24.21875,235177300.0,54358.25,True,2025-11-26,0.9150326797385622
069960,2025-10-29,25.203252032520325,1710012600.0,95615.8,True,2025-11-06,20.736196319018404
020560,2025-10-29,7.692307692307679,35816100.0,97758.4,False,,0.7891770011273956
003570,2025-10-28,26.605504587155963,704105650.0,94927.75,False,,1.2759170653907497
012750,2025-10-28,24.21875,547922250.0,54876.9,False,,1.7127799736495388
003230,2025-10-28,17.505470459518605,11837689000.0,50383.8,True,2025-11-06,15.860428231562251
020560,2025-10-28,7.89473684210526,86073430.0,97667.85,False,,0.44943820224719105
007310,2025-10-27,23.28767123287672,270218000.0,6389.25,True,2025-11-21,0.8951406649616368
021240,2025-10-27,22.330097087378647,651229300.0,182601.2,False,,0.9698275862068966
069960,2025-10-27,28.082191780821915,1897666850.0,96708.0,True,2025-11-06,19.853836784409257
251270,2025-10-27,27.272727272727266,1017259350.0,191164.85,True,2025-11-14,3.260869565217391
034230,2025-10-27,29.514563106796118,6391409135.0,1425351.65,True,2025-11-24,1.6324381253291207
003230,2025-10-27,22.268041237113408,11650531500.0,49265.3,True,2025-11-06,15.95238095238095
069960,2025-10-24,26.797385620915037,1417793550.0,99377.35,True,2025-11-06,19.853836784409257
021240,2025-10-24,18.803418803418808,63262200.0,181250.55,False,,1.0787486515641855
020560,2025-10-24,6.666666666666657,83132535.0,97641.4,False,,2.6875699888017914
029780,2025-10-24,24.545454545454547,157304725.0,62617.8,True,2025-11-06,10.931174089068826
021240,2025-10-23,15.929203539823021,1450634650.0,189780.2,False,,1.6251354279523293
001450,2025-10-23,28.723404255319153,117316175.0,492211.65,True,2025-10-30,11.861313868613138
034230,2025-10-23,29.06764168190128,4315275695.0,1483211.35,False,,2.332979851537646
012750,2025-10-23,17.02127659574468,427692150.0,62756.55,False,,2.3529411764705883
020560,2025-10-22,15.686274509803908,36922600.0,108164.25,False,,2.0022246941045605
069960,2025-10-22,29.508196721311478,296289550.0,108954.7,True,2025-11-06,19.708029197080293
007310,2025-10-22,22.535211267605646,127501750.0,6455.6,False,,0.5095541401273885
031210,2025-10-22,29.35323383084578,1316720100.0,63738.6,True,2025-10-31,14.114114114114114
008770,2025-10-22,29.245283018867923,2214601375.0,360848.1,False,,2.0161290322580645
005830,2025-10-21,29.411764705882362,2607046950.0,190081.85,True,2025-11-07,13.149847094801222
004170,2025-10-21,21.752265861027183,45456700.0,44736.4,True,2025-11-06,31.081854607899256
139480,2025-10-21,25.974025974025977,1186702300.0,140458.65,True,2025-11-11,11.095890410958905
001450,2025-10-21,27.72277227722772,974895225.0,495238.5,True,2025-10-30,13.099630996309964
031210,2025-10-21,27.179487179487182,158584175.0,66138.15,True,2025-10-31,15.501519756838904
069960,2025-10-21,24.117647058823522,595964400.0,111879.4,True,2025-11-06,20.298879202988793
483650,2025-10-20,23.11435523114355,2738602050.0,132971.3,True,2025-11-04,18.18825194621373
439260,2025-10-20,29.936305732484072,1268859650.0,314902.45,True,2025-10-27,7.984293193717278
031210,2025-10-20,26.80412371134021,672977800.0,75711.4,True,2025-10-31,15.618661257606492
004020,2025-10-20,29.133858267716533,942749975.0,374604.1,True,2025-10-28,5.6716417910447765
462870,2025-10-20,29.599999999999994,384303075.0,77724.3,True,2025-11-13,7.095926412614981
069960,2025-10-20,25.0,270266600.0,114316.95,True,2025-11-06,16.379310344827587
008770,2025-10-20,24.34782608695653,478971950.0,367746.25,False,,1.6064257028112447
036570,2025-10-20,21.42857142857143,1989589100.0,95613.2,True,2025-10-30,20.792079207920793
034230,2025-10-20,21.632653061224474,225799225.0,1887344.35,False,,2.002053388090349
001450,2025-10-20,26.66666666666667,599865700.0,494836.15,True,2025-10-30,12.477064220183486
139480,2025-10-20,25.000000000000014,1453158950.0,141038.0,True,2025-11-11,10.51912568306011
006040,2025-10-20,28.57142857142857,1201880500.0,46129.8,True,2025-10-27,20.75029308323564
006280,2025-10-20,28.915662650602414,2369485050.0,37849.5,True,2025-10-28,9.028309104820199
003090,2025-10-20,28.888888888888886,75086575.0,121680.2,True,2025-10-28,17.528089887640448
326030,2025-10-20,29.6875,211702500.0,164935.7,True,2025-10-23,27.707317073170735
001040,2025-10-17,6.772009029345384,2385045600.0,154345.0,False,,9.866017052375152
192820,2025-10-17,14.262560777957859,293989050.0,91277.9,False,,7.071213640922769
259960,2025-10-17,28.181818181818173,6644564250.0,107044.55,False,,2.1052631578947367
003570,2025-10-17,21.890547263681583,1723733950.0,121796.3,False,,9.836065573770492
377300,2025-10-17,25.203252032520325,2495721900.0,563528.05,True,2025-10-27,8.73015873015873
483650,2025-10-17,22.144522144522156,8754047950.0,131871.3,True,2025-11-04,17.6056338028169
180640,2025-10-17,29.44162436548224,47292100.0,88166.3,True,2025-10-27,19.410569105691057
003230,2025-10-17,26.92307692307692,6996779500.0,43603.6,True,2025-11-06,6.334841628959276
035720,2025-10-17,25.294117647058826,3145398550.0,2676878.45,True,2025-10-27,20.17241379310345
005830,2025-10-17,19.21182266009852,3268832000.0,183915.95,True,2025-11-07,13.846153846153847
007310,2025-10-17,15.277777777777771,332965500.0,7899.95,False,,0.0
081660,2025-10-17,26.760563380281695,308184200.0,97549.8,True,2025-10-24,9.84251968503937
008770,2025-10-17,17.180616740088098,1418215600.0,363242.0,False,,3.3707865168539324
004990,2025-10-17,23.0,619996350.0,247594.5,True,2025-10-24,21.052631578947366
004020,2025-10-17,25.19083969465649,1418435350.0,380017.4,True,2025-10-28,6.306306306306306
023530,2025-10-17,18.987341772151893,599335400.0,62319.5,True,2025-11-11,11.061285500747383
034230,2025-10-17,26.810673443456167,4367699385.0,1972877.35,False,,5.411140583554377
069960,2025-10-17,20.51282051282051,1401142050.0,115083.95,True,2025-11-06,17.31008717310087
079550,2025-10-17,26.235741444866918,17135346750.0,161634.9,True,2025-10-28,23.875432525951556
006040,2025-10-17,21.0843373493976,732254850.0,46666.05,True,2025-10-27,22.03791469194313
462870,2025-10-16,29.133858267716533,926375775.0,83107.0,True,2025-11-13,5.569948186528497
008770,2025-10-16,29.200000000000003,1084169625.0,373346.6,False,,2.2222222222222223
023530,2025-10-16,18.292682926829272,190673200.0,61550.4,True,2025-11-11,7.87518573551263
012750,2025-10-16,28.497409326424872,71867700.0,67529.4,False,,1.2853470437017995
009970,2025-10-16,22.047244094488192,200270250.0,16082.85,True,2025-10-24,30.8095952023988
483650,2025-10-16,23.058252427184456,6469033400.0,130523.6,True,2025-11-04,15.09303928325293
008930,2025-10-16,24.68354430379746,610934475.0,158402.95,True,2025-10-27,18.351063829787233
271560,2025-10-16,29.65116279069767,310411000.0,129807.75,True,2025-11-07,5.8128078817733995
003230,2025-10-16,28.899082568807344,1998088500.0,41300.9,True,2025-11-06,2.9197080291970803
006040,2025-10-16,26.946107784431135,76734875.0,48921.9,True,2025-10-27,20.75029308323564
259960,2025-10-16,26.956521739130437,3591312500.0,105768.25,False,,0.3448275862068966
003570,2025-10-16,28.723404255319153,1885193150.0,121274.0,False,,5.845181674565561
004170,2025-10-16,15.75178997613365,63930100.0,46517.1,True,2025-11-06,23.585972850678733
204320,2025-10-15,21.176470588235304,498319400.0,148578.05,True,2025-10-20,20.39274924471299
307950,2025-10-15,14.426229508196727,411103600.0,57938.15,True,2025-10-23,58.24468085106383
259960,2025-10-15,26.72413793103449,3167322750.0,106066.15,False,,0.8547008547008548
001040,2025-10-15,6.855791962174948,1632102050.0,159502.1,False,,6.7455621301775155
079550,2025-10-15,29.84496124031007,3365223500.0,161038.5,True,2025-10-28,17.505470459518598
029780,2025-10-15,20.454545454545453,390424775.0,73657.65,True,2025-11-06,7.302231237322515
004020,2025-10-15,20.714285714285708,2444566300.0,412855.25,True,2025-10-28,7.598784194528875
017670,2025-10-15,27.77777777777777,3517614800.0,749502.7,True,2025-11-12,1.2939001848428837
004170,2025-10-15,29.681274900398407,702331100.0,46380.05,True,2025-11-06,22.922636103151863
002790,2025-10-15,24.418604651162795,1080824475.0,118972.95,True,2025-11-10,9.30232558139535
004370,2025-10-15,23.655913978494624,2737001000.0,96140.0,True,2025-11-05,3.352601156069364
006040,2025-10-15,24.725274725274716,908091650.0,47713.55,True,2025-10-27,20.04662004662005
483650,2025-10-15,25.065963060686016,2549620650.0,120417.0,True,2025-11-04,9.868421052631579
139480,2025-10-15,17.391304347826093,1127154550.0,140942.0,True,2025-11-11,8.355795148247978
489790,2025-10-15,27.63819095477386,43247800.0,598570.35,False,,4.3478260869565215
139480,2025-10-14,28.30188679245282,2361793250.0,140569.3,True,2025-11-11,6.359945872801083
023530,2025-10-14,24.444444444444443,503682500.0,54141.6,True,2025-11-11,6.128550074738415
003490,2025-10-14,26.027397260273972,1077175300.0,1400667.6,False,,4.772727272727273
097230,2025-10-14,23.07692307692308,2094351650.0,8384532.5,True,2025-10-23,38.20459290187891
088350,2025-10-14,27.65957446808511,1500458784.0,1370975.95,False,,2.527646129541864
383220,2025-10-14,24.752475247524757,310896450.0,62509.2,True,2025-10-24,14.960629921259844
